"pasta","id","nome","status","sold_flag_scrape","zona","regiao","quartos","fotos","plantas","amenidades","url"
"0027_bela-vista-são-gonçalo","27","Bela Vista São Gonçalo","Pronto para Morar","False","sao-goncalo","São Gonçalo","2/3","9","3","6","https://cury.net/imovel/RJ/sao-goncalo/bela-vista-sao-goncalo"
"0041_completo-campo-grande","41","Completo Campo Grande","Pronto para Morar","False","zona-oeste","Campo Grande","2/3","10","3","5","https://cury.net/imovel/RJ/zona-oeste/completo-campo-grande"
"0156_completo-guanabara","156","Completo Guanabara","Pronto para Morar","False","sao-goncalo","São Gonçalo","1/2","14","6","10","https://cury.net/imovel/RJ/sao-goncalo/completo-guanabara"
"0018_completo-jacarepaguá-ii","18","Completo Jacarepaguá  II","Pronto para Morar","False","zona-oeste","Jacarepaguá","2/3","11","3","5","https://cury.net/imovel/RJ/zona-oeste/completo-jacarepagua-ii"
"0040_completo-nova-iguaçu","40","Completo Nova Iguaçu","Pronto para Morar","False","baixada-fluminense","Nova Iguaçu","2","8","3","5","https://cury.net/imovel/RJ/baixada-fluminense/completo-nova-iguacu"
"0120_completo-piedade","120","Completo Piedade","Pronto para Morar","False","zona-norte","Piedade","2","0","3","6","https://cury.net/imovel/RJ/zona-norte/completo-piedade"
"0054_completo-são-gonçalo","54","Completo São Gonçalo","Pronto para Morar","False","sao-goncalo","São Gonçalo","2","8","2","5","https://cury.net/imovel/RJ/sao-goncalo/completo-sao-goncalo"
"0055_completo-são-gonçalo-ii","55","Completo São Gonçalo II","Pronto para Morar","False","sao-goncalo","São Gonçalo","2","8","2","6","https://cury.net/imovel/RJ/sao-goncalo/completo-sao-goncalo-ii"
"0056_completo-zona-norte","56","Completo Zona Norte","Pronto para Morar","False","zona-norte","Tomás Coelho","2","8","1","6","https://cury.net/imovel/RJ/zona-norte/completo-zona-norte"
"0221_connect-bonsucesso","221","Connect Bonsucesso","Pronto para Morar","True","zona-norte","Bonsucesso","1/2","9","5","6","https://cury.net/imovel/RJ/zona-norte/connect-bonsucesso"
"0138_cury-bonsucesso","138","Cury Bonsucesso","Pronto para Morar","False","zona-norte","Bonsucesso","1/2","24","3","8","https://cury.net/imovel/RJ/zona-norte/cury-bonsucesso"
"0119_cury-campo-grande","119","Cury Campo Grande","Pronto para Morar","False","zona-oeste","Campo Grande","1/2","8","2","5","https://cury.net/imovel/RJ/zona-oeste/cury-campo-grande"
"0052_cury-completo-engenho-novo","52","Cury Completo Engenho Novo","Pronto para Morar","False","zona-norte","Engenho Novo","2/3","7","4","6","https://cury.net/imovel/RJ/zona-norte/completo-engenho-novo"
"0053_cury-completo-jacarepaguá","53","Cury Completo Jacarepaguá","Pronto para Morar","False","zona-oeste","Jacarepaguá","2/3","13","2","9","https://cury.net/imovel/RJ/zona-oeste/completojpa"
"0057_cury-dez-vista-alegre","57","Cury Dez Vista Alegre","Pronto para Morar","False","zona-norte","Irajá","2","8","2","7","https://cury.net/imovel/RJ/zona-norte/dez-vista-alegre"
"0059_cury-estação-zona-norte-lisboa","59","Cury Estação Zona Norte - Lisboa","Pronto para Morar","False","zona-norte","Pavuna","3","6","2","6","https://cury.net/imovel/RJ/zona-norte/estacao-zona-norte-lisboa"
"0023_cury-viva-mais-engenho-novo","23","Cury Viva Mais Engenho Novo","Pronto para Morar","False","zona-norte","Engenho Novo","2/3","9","3","10","https://cury.net/imovel/RJ/zona-norte/viva-mais-engenho-novo"
"0146_dez-bonsucesso","146","Dez Bonsucesso","Pronto para Morar","False","zona-norte","Bonsucesso","1/2","16","7","10","https://cury.net/imovel/RJ/zona-norte/dez-bonsucesso"
"0039_dez-covanca","39","Dez Covanca","Pronto para Morar","False","sao-goncalo","São Gonçalo","2","10","3","6","https://cury.net/imovel/RJ/sao-goncalo/dez-covanca"
"0026_dez-irajá","26","Dez Irajá","Pronto para Morar","False","zona-norte","Irajá","1/2","9","3","6","https://cury.net/imovel/RJ/zona-norte/dez-iraja"
"0022_dez-jacarepaguá","22","Dez Jacarepaguá","Pronto para Morar","False","zona-oeste","Jacarepaguá","1/2","15","3","8","https://cury.net/imovel/RJ/zona-oeste/dez-jacarepagua"
"0024_dez-nova-iguaçu","24","Dez Nova Iguaçu","Pronto para Morar","False","baixada-fluminense","Nova Iguaçu","2/3","7","3","6","https://cury.net/imovel/RJ/baixada-fluminense/dez-nova-iguacu"
"0021_dez-portal","21","Dez Portal","Pronto para Morar","False","baixada-fluminense","Belford Roxo","1/2","8","3","8","https://cury.net/imovel/RJ/baixada-fluminense/dez-portal"
"0167_dez-ramos","167","Dez Ramos","Pronto para Morar","False","zona-norte","Ramos","1/2","12","6","9","https://cury.net/imovel/RJ/zona-norte/dez-ramos"
"0037_dez-rocha-miranda","37","Dez Rocha Miranda","Pronto para Morar","False","zona-norte","Rocha Miranda","2","9","2","8","https://cury.net/imovel/RJ/zona-norte/dez-rocha-miranda"
"0058_dez-zona-norte","58","Dez Zona Norte","Pronto para Morar","False","zona-norte","Irajá","2","8","2","9","https://cury.net/imovel/RJ/zona-norte/dez-zona-norte"
"0064_ecopark-floral-park","64","Ecopark - Floral Park","Pronto para Morar","False","sao-goncalo","Maria Paula","2","6","4","6","https://cury.net/imovel/RJ/sao-goncalo/ecopark-floral-park"
"0030_ecopark-water-park","30","Ecopark - Water Park","Pronto para Morar","False","sao-goncalo","Maria Paula","1/2/3","5","6","8","https://cury.net/imovel/RJ/sao-goncalo/ecopark-water-park"
"0029_ecopark-wood-park","29","Ecopark - Wood Park","Pronto para Morar","False","sao-goncalo","Maria Paula","2/3","4","4","8","https://cury.net/imovel/RJ/sao-goncalo/ecopark-wood-park"
"0044_estação-zona-norte-berlim","44","Estação Zona Norte - Berlim","Pronto para Morar","False","zona-norte","Pavuna","2","7","2","5","https://cury.net/imovel/RJ/zona-norte/estacao-zona-norte-berlim"
"0060_estação-zona-norte-londres","60","Estação Zona Norte - Londres","Pronto para Morar","False","zona-norte","Pavuna","2","12","2","6","https://cury.net/imovel/RJ/zona-norte/estacao-zona-norte-londres"
"0061_estação-zona-norte-madri","61","Estação Zona Norte - Madri","Pronto para Morar","False","zona-norte","Pavuna","2","8","2","6","https://cury.net/imovel/RJ/zona-norte/estacao-zona-norte-madri"
"0062_estação-zona-norte-paris","62","Estação Zona Norte - Paris","Pronto para Morar","False","zona-norte","Pavuna","2","11","2","6","https://cury.net/imovel/RJ/zona-norte/estacao-zona-norte-paris"
"0063_estação-zona-norte-roma","63","Estação Zona Norte - Roma","Pronto para Morar","False","zona-norte","Pavuna","2","8","2","6","https://cury.net/imovel/RJ/zona-norte/estacao-zona-norte-roma"
"0181_flow-santa-rosa","181","Flow Santa Rosa","Pronto para Morar","False","niteroi","Santa Rosa","1/2","12","15","9","https://cury.net/imovel/RJ/niteroi/flow-santa-rosa"
"0065_galeria-estação-zona-norte","65","Galeria Estação Zona Norte","Pronto para Morar","True","zona-norte","Pavuna","1","1","13","0","https://cury.net/imovel/RJ/zona-norte/galeria-estacao-zona-norte"
"0020_mérito-barreto","20","Mérito Barreto","Pronto para Morar","False","niteroi","Niterói","2/3","9","6","6","https://cury.net/imovel/RJ/niteroi/merito-barreto"
"0066_mérito-engenho-novo","66","Mérito Engenho Novo","Pronto para Morar","False","zona-norte","Engenho Novo","2","7","6","9","https://cury.net/imovel/RJ/zona-norte/merito-engenho-novo"
"0127_mérito-jacarepaguá","127","Mérito Jacarepaguá","Pronto para Morar","False","zona-oeste","Jacarepaguá","2/3","19","5","12","https://cury.net/imovel/RJ/zona-oeste/merito-jacarepagua"
"0144_mérito-zona-norte","144","Mérito Zona Norte","Pronto para Morar","False","zona-norte","Irajá","1/2/3","14","4","8","https://cury.net/imovel/RJ/zona-norte/merito-zona-norte"
"0033_meu-lar-duque-de-caxias","33","Meu Lar Duque de Caxias","Pronto para Morar","False","baixada-fluminense","Duque de Caxias","2","6","3","5","https://cury.net/imovel/RJ/baixada-fluminense/meu-lar-duque-de-caxias"
"0134_meu-lar-são-gonçalo","134","Meu Lar São Gonçalo","Pronto para Morar","False","sao-goncalo","São Gonçalo","2","14","3","10","https://cury.net/imovel/RJ/sao-goncalo/meu-lar-sao-goncalo"
"0017_meu-lugar-penha","17","Meu Lugar Penha","Pronto para Morar","False","zona-norte","Penha","2/3","9","6","7","https://cury.net/imovel/RJ/zona-norte/meu-lugar-penha"
"0209_my-jacarepaguá","209","My Jacarepaguá","Pronto para Morar","True","zona-oeste","Jacarepaguá","1/2","11","2","7","https://cury.net/imovel/RJ/zona-oeste/my-jacarepagua"
"0243_nova-norte-samba","243","Nova Norte - Samba","Pronto para Morar","True","zona-norte","Irajá","1/2/3","11","7","8","https://cury.net/imovel/RJ/zona-norte/nova-norte-samba"
"0253_orla-recreio-praia-do-pontal","253","Orla Recreio - Praia do Pontal","Pronto para Morar","True","zona-oeste","Recreio","1/2/3","13","6","9","https://cury.net/imovel/RJ/zona-oeste/orla-recreio-praia-do-pontal"
"0149_orla-recreio-grumari","149","Orla Recreio Grumari","Pronto para Morar","False","zona-oeste","Recreio","1/2/3","15","6","10","https://cury.net/imovel/RJ/zona-oeste/orla-recreio-grumari"
"0177_orla-recreio-prainha","177","Orla Recreio Prainha","Pronto para Morar","False","zona-oeste","Recreio","1/2/3","13","7","7","https://cury.net/imovel/RJ/zona-oeste/orla-recreio-prainha"
"0214_orla-recreio-reserva","214","Orla Recreio Reserva","Pronto para Morar","True","zona-oeste","Recreio","1/2/3","14","8","7","https://cury.net/imovel/RJ/zona-oeste/orla-recreio-reserva"
"0135_parque-brito-ii","135","Parque Brito II","Pronto para Morar","False","zona-oeste","Campo Grande","1/2","12","3","5","https://cury.net/imovel/RJ/zona-oeste/parque-brito-ii"
"0067_parque-dos-sonhos-campo-grande","67","Parque dos Sonhos Campo Grande","Pronto para Morar","False","zona-oeste","Campo Grande","2/3","8","0","6","https://cury.net/imovel/RJ/zona-oeste/parque-dos-sonhos-campo-grande"
"0032_parque-dos-sonhos-nova-iguaçu","32","Parque dos Sonhos Nova Iguaçu","Pronto para Morar","False","baixada-fluminense","Nova Iguaçu","2/3","8","3","10","https://cury.net/imovel/RJ/baixada-fluminense/parque-dos-sonhos-nova-iguacu"
"0028_parque-dos-sonhos-são-gonçalo","28","Parque dos Sonhos São Gonçalo","Pronto para Morar","False","sao-goncalo","São Gonçalo","2","10","1","8","https://cury.net/imovel/RJ/sao-goncalo/parque-dos-sonhos-sao-goncalo"
"0195_pateo-nazareth","195","Pateo Nazareth","Pronto para Morar","True","zona-portuaria","Porto Maravilha","0/1/2/3","31","8","8","https://cury.net/imovel/RJ/zona-portuaria/pateo-nazareth"
"0184_rio-energy","184","Rio Energy","Pronto para Morar","True","zona-portuaria","Porto Maravilha","0/1/2/3","28","13","8","https://cury.net/imovel/RJ/zona-portuaria/rio-energy"
"0174_rio-wonder-residences-cais-do-valongo","174","Rio Wonder Residences Cais do Valongo","Pronto para Morar","False","zona-portuaria","Porto Maravilha","0/1/2","8","11","6","https://cury.net/imovel/RJ/zona-portuaria/rio-wonder-residences-cais-do-valongo"
"0169_rio-wonder-residences-mauá","169","Rio Wonder Residences Mauá","Pronto para Morar","False","zona-portuaria","Porto Maravilha","0/1/2","11","10","9","https://cury.net/imovel/RJ/zona-portuaria/rio-wonder-residences-maua"
"0163_rio-wonder-residences-praia-formosa","163","Rio Wonder Residences Praia Formosa","Pronto para Morar","False","zona-portuaria","Porto Maravilha","0/1/2","24","11","12","https://cury.net/imovel/RJ/zona-portuaria/rio-wonder-residences-praia-formosa"
"0068_supera-campo-grande","68","Supera Campo Grande","Pronto para Morar","False","zona-oeste","Campo Grande","1/2/3","7","3","5","https://cury.net/imovel/RJ/zona-oeste/supera-campo-grande"
"0197_trendy-cachambi","197","Trendy Cachambi","Pronto para Morar","True","zona-norte","Cachambi","1/2/3","12","5","11","https://cury.net/imovel/RJ/zona-norte/trendy-cachambi"
"0189_único-bonsucesso","189","Único Bonsucesso","Pronto para Morar","True","zona-norte","Bonsucesso","1/2","12","6","6","https://cury.net/imovel/RJ/zona-norte/unico-bonsucesso"
"0069_único-engenho-novo","69","Único Engenho Novo","Pronto para Morar","False","zona-norte","Engenho Novo","2","7","2","5","https://cury.net/imovel/RJ/zona-norte/unico-engenho-novo"
"0140_único-nova-iguaçu","140","Único Nova Iguaçu","Pronto para Morar","False","baixada-fluminense","Nova Iguaçu","1/2","13","4","9","https://cury.net/imovel/RJ/baixada-fluminense/unico-nova-iguacu"
"0160_urban-downtown","160","Urban Downtown","Pronto para Morar","True","niteroi","Niterói","1/2","14","7","8","https://cury.net/imovel/RJ/niteroi/urban-downtown"
"0182_urban-são-cristóvão","182","Urban São Cristóvão","Pronto para Morar","True","zona-norte","São Cristóvão","1/2","16","10","12","https://cury.net/imovel/RJ/zona-norte/urban-sao-cristovao"
"0132_urban-zona-norte","132","Urban Zona Norte","Pronto para Morar","False","zona-norte","Irajá","1/2","0","3","12","https://cury.net/imovel/RJ/zona-norte/urban-zona-norte"
"0191_vargas-1140","191","Vargas 1140","Pronto para Morar","True","centro","Centro","0/1/2","11","8","8","https://cury.net/imovel/RJ/centro/vargas-1140"
"0031_viva-mais-nova-iguaçu","31","Viva Mais Nova Iguaçu","Pronto para Morar","False","baixada-fluminense","Nova Iguaçu","2/3","13","2","6","https://cury.net/imovel/RJ/baixada-fluminense/viva-mais-nova-iguacu"
"0117_viva-mais-são-gonçalo","117","Viva Mais São Gonçalo","Pronto para Morar","False","sao-goncalo","São Gonçalo","1/2","7","3","5","https://cury.net/imovel/RJ/sao-goncalo/viva-mais-sao-goncalo"
